Area Code,Time Zone,State/Prov.,Region
201,EST,New Jersey,"Hackensack, Jersey City, Union City, Rutherford, Leonia"
202,EST,District of Columbia,"Washington, District of Columbia"
203,EST,Connecticut,"Bridgeport, New Haven, Stamford, Waterbury, Norwalk, Danbury, Greenwich"
205,CST,Alabama,"Birmingham, Huntsville, Tuscaloosa, Anniston"
206,PST,Washington,"Seattle, Everett"
207,EST,Maine,Maine: All regions
208,MST,Idaho,Idaho: All regions *(Area Code crosses into PST time zone)
209,PST,California,"Stockton, Modesto, Merced, Oakdale"
210,CST,Texas,San Antonio
212,EST,New York,New York City (Manhattan only)
213,PST,California,"Los Angeles, Compton"
214,CST,Texas,Dallas
215,EST,Pennsylvania,"Philadelphia, Lansdale, Doylestown, Newtown, Quakertown"
216,EST,Ohio,"Cleveland, Terrace, Independence, Montrose"
217,CST,Illinois,"Springfield, Champaign Urbana, Decatur, Central Illinois"
218,CST,Minnesota,"Duluth, Virginia, Moorhead, Brainerd, Wadena"
219,CST,Indiana,"Gary, Hammond, Merrillville, Portage, Michigan City, Valparaiso *(Area Code crosses into EST time zone)"
220,EST,Ohio,Overlay of 740 Area Code.
224,CST,Illinois,Overlay of 847 area code (Chicago)
225,CST,Louisiana,Baton Rouge and Surrounding Areas
228,CST,Mississippi,"Gulfport, Biloxi, Pascagoula, Bay St. Louis"
229,EST,Georgia,"Albany, Valdosta, Thomasville, Bainbridge, Tifton, Americus, Moultrie, Cordele"
231,EST,Michigan,"Muskegon, Traverse City, Big Rapids, Cadillac, Cheboygan"
234,EST,Ohio,Overlay of 330 Area Code
239,EST,Florida,"Ft. Myers, Naples, Cape Coral, Bonita Springs, Immokalee, Lehigh Acres, Sanibel, Captiva, Pine Island"
240,EST,Maryland,Overlay of 301 Area Code (Maryland)
248,EST,Michigan,"Troy, Pontiac, Royal Oak, Birmingham, Rochester, Farmington Hills"
251,CST,Alabama,"Mobile, Prichard, Tillmans Corner, Fairhope, Jackson, Gulfshores"
252,EST,North Carolina,"Greenville, Rocky Mount, Wilson, New Bern"
253,PST,Washington,"Tacoma, Kent, Auburn"
254,CST,Texas,"Waco, Killeen, Temple"
256,CST,Alabama,"Huntsville, Anniston, Decatur, Gadsden, Florence"
260,EST,Indiana,"Fort Wayne, Huntington, Wabash, Lagrange"
262,CST,Wisconsin,"Green Bay, Appleton, Racine, Kenosha, Oshkosh, Waukesha, Menomonee Falls, West Bend, Sheboygan"
267,EST,Pennsylvania,Overlay of 215 Area Code (Philadelphia Area)
269,EST,Michigan,"Kalamazoo, Battle Creek, St. Joseph, Three Rivers, South Haven, Benton Harbor, Sturgis, Hastings"
270,CST,Kentucky,"Bowling Green, Paducah, Owensboro, Hopkinsville *(Area Code crosses into EST time zone)"
272,EST,Pennsylvania,Overlay of 570 Area Code.
276,EST,Virginia,"Martinsville, Abingdon, Wytheville, Bristol, Marion, Collinsville"
281,CST,Texas,"Houston, Sugar Land, Buffalo, Airline, Greenspoint, Spring"
301,EST,Maryland,"Rockville, Silver Spring, Bethesda, Gaithersburg, Frederick, Laurel, Hagerstown"
302,EST,Delaware,Delaware: All regions
303,MST,Colorado,"Denver, Littleton, Englewood, Arvada, Boulder, Aurora"
304,EST,West Virginia,West Virginia: All regions
305,EST,Florida,"Miami, Perrine, Homestead, Florida Keys"
